origin	packages	license	source_kind	source_asset	source_member	source_url	source_size	source_sha256	notice_section	notice_sha256
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/libbb/change_identity.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	2411	c8aef5e372ff6b742f18f8cfa9355e3d28d436d4be279fae5730706370e0c807	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/libbb/correct_password.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	4217	7f119ea757548393aed188e783fa58dbc240a35fc598acdc727295fea6290e9d	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/libbb/dump.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	22913	a6dbc2fc1a61a0eb7b268e4e47364ecb7d00bb1ad36b4b1432b747b32ebd8125	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/libbb/progress.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	7150	fc3db3f961b24eeed7413ca219de4d4520d041507485628e1a103f234ff03072	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/libbb/run_shell.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	3335	f551208951ef58f131fe2a49425d51b191b6ac25b7b95905125b63eb2e8d0bce	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/libbb/setup_environment.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	2952	4e2f6100a44e922c5c7b154e3044c656b7edfae966b2f83c8845248674551bde	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/libbb/unicode.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	32573	4bb46a66971f864c4e7ebb05e0e1070aa927b3d856f6a026ba7c23cffe4a3208	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/libpwdgrp/uidgid_get.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	3706	d3c0fab1a792ff2b6e158045150562d48ab5c327226a0ccf12729f40fb7b04f1	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/networking/nc_bloaty.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	31172	82313a93cc3b1262f4f91bebb5f5e9738a93c626f7959e49945b0d25b9d3cf67	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/networking/nslookup.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	36355	42e230de6741c8d66625f47a0cd7dc561f705737932a18a287d6dd7eb32ff1f9	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/networking/ntpd.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	92393	e804245a440cc1367f5346e227eecab3637a942f948b4dfade0b6cfdcff37b87	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/networking/ping.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	31076	e0f0641b1cc92f22143906ba63635b650d596d616f760cd397ec32710f905a2d	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/networking/traceroute.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	40524	356c523b0af35f020f5357a662010127e844cde71b74c5d2ca745dab704edaaf	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/shell/ash.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	342923	e8090e5dd0f79097b6b29399a8f14572049f011f86b6c6e4de66dfb75b58cfcd	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/shell/math.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	33124	7ac75a661483099ebb45fbcece1bc68971107658eb4e89711c9ce73579209948	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/sysklogd/logger.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	5529	80bddf77455678d46e64a06e19f611224b6a86fcb92cbfa80a66d9947fb11a37	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/util-linux/cal.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	10951	edcf6180c30623907c4334709491f05dc13350d2686ef21a8d4f7f062e276292	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/util-linux/fdisk_osf.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	29911	ee2f15e1f6fcc7dd4d1d12edca00face5698a04ed4a1991ec84c03b43a5d3c67	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/util-linux/volume_id/bcache.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	2505	9d0c1314e44cf908f810f06ac39c97f1f7e2618063108d41698586ce0d70b08d	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/util-linux/volume_id/btrfs.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	3173	9aec9a6f11f524972b85601b15e97f1b36b35abd018ac9c519838f6cd9627d3d	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/util-linux/volume_id/cramfs.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	1862	6395a775fe036f2afc006e45a8fda10e24301857897d36e558a8e15b2233e236	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/util-linux/volume_id/exfat.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	4935	dbf6ec1cba3cb4048a7d147ecb56cea364bdf5c0689a924b3bc0ed19ad7985c2	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/util-linux/volume_id/ext.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	2215	4930ce00249201d10d72ea8d4ebbaac00dbcdfaf18817e18e8d4363deaf8d508	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/util-linux/volume_id/fat.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	9428	e5c41ec8dc220247710ee67fce345bd385f3ab870e7f72069c607e8baef68c7d	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
busybox	busybox-binsh@1.37.0-r31,busybox@1.37.0-r31,ssl_client@1.37.0-r31	GPL-2.0-only	upstream	distfiles/busybox/busybox-1.37.0.tar.bz2	busybox-1.37.0/util-linux/volume_id/iso9660.c	https://busybox.net/downloads/busybox-1.37.0.tar.bz2	3619	5938e7c341facba81150941b37a575483ab88e76450c5f14bc5789f664ef4ab4	busybox-embedded-notices	4b67bf818e9cb6001105c127863a3275eaa32d579fd47ff2c5675d1a3e26e204
